iter	Passed	Remaining
0	2	2565
1	5	2586
2	7	2386
3	9	2294
4	12	2421
5	14	2366
6	17	2430
7	19	2448
8	21	2408
9	24	2382
10	27	2440
11	29	2414
12	31	2407
13	33	2390
14	36	2372
15	38	2354
16	40	2361
17	43	2397
18	46	2396
19	48	2380
20	50	2371
21	53	2365
22	55	2358
23	59	2404
24	61	2403
25	63	2386
26	65	2363
27	67	2351
28	70	2348
29	74	2407
30	76	2398
31	79	2392
32	80	2369
33	83	2365
34	85	2366
35	89	2394
36	91	2388
37	93	2372
38	95	2359
39	97	2351
40	101	2370
41	104	2383
42	106	2375
43	108	2366
44	111	2361
45	113	2352
46	117	2374
47	119	2370
48	121	2359
49	123	2346
50	125	2341
51	129	2363
52	134	2394
53	136	2384
54	138	2375
55	140	2362
56	142	2354
57	144	2348
58	147	2359
59	150	2351
60	152	2343
61	154	2335
62	156	2331
63	159	2329
64	162	2337
65	164	2330
66	166	2325
67	169	2322
68	171	2320
69	174	2315
70	177	2320
71	179	2315
72	181	2308
73	183	2296
74	185	2291
75	187	2281
76	189	2276
77	192	2279
78	194	2269
79	196	2260
80	198	2253
81	200	2240
82	200	2220
83	202	2209
84	212	2288
85	214	2277
86	215	2263
87	217	2250
88	218	2238
89	220	2228
90	223	2230
91	224	2217
92	226	2207
93	227	2197
94	229	2184
95	230	2171
96	231	2158
97	233	2146
98	234	2136
99	237	2138
100	239	2127
101	240	2119
102	242	2112
103	243	2101
104	245	2092
105	246	2081
106	248	2071
107	249	2060
108	251	2057
109	253	2051
110	254	2041
111	256	2034
112	257	2024
113	259	2014
114	260	2006
115	261	1996
116	262	1983
117	265	1982
118	267	1977
119	268	1968
120	269	1961
121	270	1949
122	272	1939
123	273	1930
124	274	1921
125	276	1915
126	277	1905
127	278	1897
128	280	1890
129	282	1887
130	283	1880
131	284	1873
132	286	1864
133	287	1857
134	289	1853
135	291	1850
136	293	1847
137	295	1843
138	297	1845
139	300	1844
140	302	1843
141	303	1836
142	305	1832
143	307	1828
144	309	1826
145	312	1827
146	314	1823
147	315	1815
148	316	1809
149	318	1804
150	320	1799
151	321	1793
152	322	1786
153	324	1780
154	326	1778
155	328	1775
156	329	1769
157	331	1764
158	332	1759
159	334	1754
160	335	1746
161	336	1741
162	337	1734
163	340	1733
164	342	1733
165	344	1732
166	346	1730
167	349	1728
168	351	1726
169	353	1725
170	355	1722
171	357	1722
172	359	1720
173	361	1718
174	363	1714
175	365	1710
176	367	1708
177	369	1705
178	371	1704
179	372	1698
180	374	1695
181	376	1691
182	378	1687
183	379	1684
184	381	1681
185	383	1679
186	385	1675
187	387	1673
188	389	1671
189	391	1668
190	393	1665
191	395	1664
192	397	1663
193	399	1661
194	402	1661
195	404	1658
196	406	1655
197	408	1653
198	410	1652
199	412	1648
200	414	1645
201	416	1643
202	418	1641
203	420	1638
204	421	1635
205	423	1634
206	425	1631
207	427	1629
208	429	1627
209	432	1627
210	434	1624
211	436	1621
212	438	1620
213	440	1618
214	442	1617
215	445	1616
216	447	1615
217	449	1611
218	451	1609
219	453	1607
220	455	1605
221	457	1602
222	459	1600
223	462	1600
224	464	1598
225	466	1597
226	468	1595
227	470	1591
228	472	1589
229	474	1587
230	476	1584
231	478	1583
232	480	1582
233	482	1579
234	484	1576
235	486	1574
236	488	1571
237	489	1568
238	493	1570
239	495	1569
240	497	1567
241	499	1564
242	501	1562
243	503	1559
244	505	1557
245	508	1558
246	510	1556
247	512	1553
248	514	1550
249	515	1547
250	517	1545
251	520	1543
