iter	Passed	Remaining
0	146	146732
1	150	75019
2	157	52185
3	161	40157
4	164	32823
5	172	28652
6	177	25158
7	184	22888
8	188	20785
9	193	19199
10	199	17951
11	203	16764
12	209	15888
13	213	15049
14	218	14325
15	224	13778
16	228	13199
17	234	12810
18	239	12349
19	243	11922
20	246	11505
21	250	11114
22	253	10748
23	255	10385
24	257	10039
25	261	9788
26	263	9480
27	265	9216
28	267	8940
29	268	8685
30	270	8457
31	274	8289
32	276	8093
33	277	7896
34	279	7706
35	280	7519
36	282	7348
37	285	7232
38	287	7082
39	288	6931
40	290	6792
41	291	6654
42	293	6525
43	294	6403
44	298	6336
45	300	6233
46	302	6131
47	303	6024
48	305	5922
49	306	5824
50	308	5733
51	311	5679
52	313	5602
53	315	5524
54	316	5442
55	318	5361
56	319	5285
57	321	5217
58	325	5193
59	328	5146
60	329	5077
61	331	5020
62	333	4961
63	342	5012
64	344	4957
65	352	4994
66	355	4945
67	356	4892
68	359	4857
69	363	4824
70	367	4809
71	370	4771
72	372	4732
73	375	4698
74	377	4656
75	382	4644
76	384	4610
77	386	4573
78	388	4532
79	393	4526
80	398	4524
81	401	4492
82	407	4498
83	409	4466
84	413	4450
85	420	4464
86	422	4430
87	426	4416
88	430	4405
89	497	5027
90	500	4996
91	521	5145
92	523	5106
93	528	5090
94	530	5054
95	533	5023
96	535	4985
97	537	4947
98	539	4908
99	542	4882
100	544	4848
101	546	4810
102	547	4771
103	549	4734
104	553	4719
105	556	4693
106	558	4660
107	560	4626
108	563	4609
109	568	4601
110	570	4572
111	572	4539
112	574	4512
113	577	4484
114	579	4462
115	581	4432
116	582	4399
117	584	4368
118	586	4339
119	587	4309
120	589	4283
121	594	4275
122	595	4245
123	597	4224
124	599	4197
125	602	4176
126	606	4166
127	608	4145
128	611	4125
129	612	4101
130	614	4079
131	619	4073
132	624	4068
133	628	4060
134	630	4037
135	632	4018
136	634	3994
137	635	3970
138	637	3946
139	638	3924
140	641	3910
141	643	3885
142	644	3864
143	646	3841
144	647	3820
145	649	3798
146	650	3777
147	652	3756
148	654	3735
149	656	3717
150	657	3697
151	658	3675
152	660	3654
153	662	3638
154	664	3624
155	667	3609
156	669	3594
157	672	3583
158	674	3565
159	677	3554
160	679	3542
161	681	3524
162	682	3505
163	683	3486
164	685	3468
165	686	3450
166	689	3438
167	691	3424
168	693	3408
169	694	3391
170	696	3374
171	697	3359
172	701	3353
173	703	3338
174	705	3324
175	706	3308
176	707	3291
177	710	3279
178	714	3275
179	716	3261
180	717	3246
181	718	3231
182	720	3216
183	723	3210
184	725	3197
185	727	3182
186	728	3167
187	730	3153
188	731	3139
189	732	3124
190	737	3121
191	739	3110
192	740	3097
193	742	3083
194	743	3070
195	745	3058
196	747	3045
197	748	3032
198	750	3020
199	751	3006
200	753	2993
201	754	2979
202	755	2968
203	757	2955
204	760	2948
205	762	2938
206	763	2926
207	765	2914
208	766	2902
209	768	2890
210	769	2877
211	770	2865
212	773	2858
213	775	2847
214	776	2836
215	778	2825
216	779	2813
217	781	2801
218	782	2789
219	784	2780
220	787	2774
221	788	2763
222	790	2752
223	791	2741
224	792	2730
225	793	2718
226	795	2708
227	797	2698
228	799	2692
229	801	2683
230	803	2674
231	804	2663
232	805	2652
233	807	2642
234	808	2631
235	810	2622
236	812	2617
237	814	2607
238	816	2598
239	817	2588
240	818	2578
241	820	2568
242	821	2558
243	823	2550
244	826	2545
245	827	2536
246	829	2527
247	830	2517
248	831	2507
249	832	2498
250	833	2488
251	835	2480
252	837	2473
253	839	2465
254	840	2457
255	842	2447
256	843	2438
257	845	2431
258	846	2423
259	849	2416
260	852	2414
261	854	2406
262	855	2398
263	857	2391
264	859	2382
265	861	2376
266	865	2376
267	867	2369
268	869	2362
269	870	2353
270	871	2345
271	874	2339
272	878	2338
273	879	2331
274	881	2323
275	882	2316
276	884	2308
277	888	2307
278	891	2303
279	893	2297
280	895	2290
281	896	2282
282	899	2279
283	903	2277
284	905	2271
285	907	2264
286	908	2257
287	910	2250
288	913	2247
289	917	2245
290	918	2238
291	920	2231
292	921	2223
293	923	2217
294	927	2215
295	930	2212
296	931	2205
297	933	2198
298	935	2192
299	936	2184
300	938	2178
301	940	2174
302	942	2168
303	944	2162
304	945	2155
305	948	2151
306	949	2144
307	955	2145
308	956	2139
309	958	2133
310	960	2128
311	962	2122
312	965	2119
313	967	2113
314	969	2108
315	971	2101
316	972	2095
317	974	2089
318	978	2088
319	980	2082
320	982	2077
321	983	2071
322	985	2064
323	986	2058
324	989	2055
325	992	2051
326	994	2046
327	995	2039
328	997	2033
329	998	2027
330	1000	2021
331	1002	2017
332	1004	2011
333	1006	2006
334	1007	2000
335	1009	1994
336	1010	1987
337	1011	1981
338	1013	1977
339	1015	1972
340	1017	1966
341	1018	1960
342	1020	1954
343	1021	1947
344	1022	1941
345	1023	1935
346	1025	1930
347	1028	1926
348	1030	1922
349	1032	1917
350	1033	1911
351	1035	1906
352	1036	1899
353	1038	1895
354	1041	1892
355	1042	1886
356	1044	1880
357	1045	1875
358	1046	1869
359	1048	1863
360	1049	1857
361	1052	1854
362	1056	1854
363	1058	1848
364	1059	1843
365	1060	1837
366	1061	1831
367	1063	1826
368	1066	1823
369	1068	1818
370	1069	1813
371	1070	1807
372	1072	1802
373	1073	1796
374	1074	1790
375	1078	1789
376	1080	1785
377	1082	1781
378	1083	1775
379	1084	1769
380	1086	1764
381	1087	1759
382	1089	1755
383	1091	1750
384	1093	1746
385	1094	1741
386	1095	1735
387	1096	1729
388	1097	1724
389	1099	1719
390	1101	1715
391	1104	1713
392	1106	1708
393	1107	1703
394	1109	1698
395	1110	1693
396	1111	1688
397	1112	1683
398	1114	1679
399	1117	1676
400	1118	1671
401	1120	1666
402	1121	1661
403	1122	1656
404	1124	1651
405	1125	1647
406	1128	1644
407	1131	1641
408	1132	1637
409	1134	1632
410	1135	1627
411	1136	1622
412	1138	1618
413	1139	1613
414	1141	1609
415	1144	1606
416	1145	1602
417	1147	1597
418	1148	1592
419	1150	1588
420	1151	1583
421	1152	1578
422	1154	1574
423	1157	1572
424	1159	1568
425	1160	1563
426	1161	1559
427	1163	1554
428	1164	1550
429	1166	1546
430	1170	1544
431	1171	1540
432	1173	1536
433	1174	1532
434	1176	1527
435	1177	1523
436	1179	1519
437	1183	1518
438	1185	1514
439	1186	1510
440	1188	1506
441	1189	1502
442	1191	1497
443	1194	1495
444	1196	1492
445	1198	1488
446	1200	1484
447	1201	1480
448	1203	1476
449	1204	1471
450	1206	1469
451	1209	1466
452	1211	1463
453	1213	1459
454	1214	1455
455	1216	1450
456	1217	1446
457	1220	1443
458	1223	1441
459	1225	1438
460	1226	1433
461	1227	1429
462	1229	1425
463	1230	1421
464	1233	1419
465	1236	1416
466	1238	1413
467	1240	1409
468	1242	1406
469	1246	1406
470	1248	1402
471	1250	1398
472	1252	1395
473	1253	1391
474	1259	1392
475	1262	1389
476	1264	1386
477	1266	1382
478	1267	1378
479	1270	1376
480	1274	1375
481	1276	1371
482	1278	1368
483	1280	1365
484	1284	1363
485	1286	1360
486	1288	1357
487	1290	1354
488	1293	1351
489	1297	1350
490	1299	1347
491	1301	1343
492	1304	1341
493	1307	1339
494	1309	1336
495	1311	1332
496	1314	1330
497	1316	1326
498	1319	1324
499	1321	1321
500	1323	1318
501	1325	1315
502	1327	1311
503	1330	1309
504	1334	1307
505	1336	1305
506	1338	1301
507	1340	1298
508	1342	1295
509	1346	1293
510	1348	1290
511	1350	1286
512	1351	1283
513	1353	1279
514	1358	1279
515	1360	1276
516	1362	1272
517	1363	1269
518	1365	1265
519	1367	1262
520	1371	1260
521	1372	1257
522	1374	1253
523	1375	1249
524	1377	1246
525	1378	1242
526	1383	1241
527	1385	1238
528	1386	1234
529	1387	1230
530	1389	1226
531	1390	1223
532	1395	1222
533	1397	1219
534	1398	1215
535	1400	1212
536	1401	1208
537	1403	1204
538	1408	1204
539	1410	1201
540	1412	1198
541	1413	1194
542	1415	1191
543	1416	1187
544	1420	1185
545	1422	1182
546	1423	1179
547	1425	1175
548	1426	1171
549	1428	1168
550	1429	1165
551	1433	1163
552	1435	1160
553	1436	1156
554	1438	1153
555	1439	1149
556	1441	1146
557	1443	1143
558	1446	1141
559	1448	1138
560	1449	1134
561	1451	1130
562	1452	1127
563	1454	1124
564	1455	1120
565	1459	1118
566	1461	1115
567	1462	1112
568	1463	1108
569	1465	1105
570	1467	1102
571	1469	1099
572	1472	1097
573	1474	1094
574	1475	1090
575	1477	1087
576	1479	1084
577	1480	1080
578	1482	1077
579	1485	1075
580	1487	1072
581	1488	1069
582	1490	1066
583	1492	1062
584	1493	1059
585	1495	1056
586	1498	1054
587	1499	1050
588	1501	1047
589	1502	1044
590	1503	1040
591	1505	1037
592	1506	1033
593	1507	1030
594	1510	1028
595	1512	1025
596	1514	1022
597	1515	1018
598	1516	1015
599	1517	1011
600	1519	1008
601	1521	1005
602	1523	1003
603	1525	1000
604	1526	996
605	1528	993
606	1529	990
607	1530	987
608	1532	983
609	1534	981
610	1537	978
611	1539	975
612	1540	972
613	1542	969
614	1543	966
615	1544	963
616	1547	960
617	1550	958
618	1551	955
619	1553	951
620	1554	948
621	1555	945
622	1556	942
623	1558	939
624	1562	937
625	1564	934
626	1565	931
627	1566	928
628	1568	924
629	1569	921
630	1570	918
631	1573	916
632	1576	914
633	1578	911
634	1579	907
635	1580	904
636	1581	901
637	1583	898
638	1584	895
639	1589	893
640	1590	890
641	1592	887
642	1593	884
643	1594	881
644	1596	878
645	1597	875
646	1600	873
647	1602	870
648	1603	867
649	1605	864
650	1606	861
651	1607	858
652	1608	854
653	1610	851
654	1612	849
655	1615	846
656	1616	843
657	1617	840
658	1619	837
659	1620	834
660	1622	831
661	1624	829
662	1627	827
663	1628	824
664	1630	821
665	1631	818
666	1633	815
667	1634	812
668	1636	809
669	1639	807
670	1641	804
671	1642	801
672	1644	798
673	1645	796
674	1647	793
675	1649	790
676	1652	788
677	1654	785
678	1655	782
679	1656	779
680	1658	776
681	1659	773
682	1661	771
683	1665	769
684	1666	766
685	1668	763
686	1670	761
687	1671	758
688	1673	755
689	1676	752
690	1678	750
691	1680	748
692	1682	745
693	1684	742
694	1685	739
695	1688	737
696	1691	735
697	1693	732
698	1695	729
699	1696	727
700	1698	724
701	1700	721
702	1703	719
703	1706	717
704	1707	714
705	1709	711
706	1710	708
707	1712	706
708	1716	704
709	1719	702
710	1721	699
711	1722	696
712	1724	694
713	1726	691
714	1729	689
715	1731	686
716	1733	684
717	1734	681
718	1735	678
719	1737	675
720	1739	673
721	1744	671
722	1745	668
723	1747	666
724	1748	663
725	1749	660
726	1751	657
727	1756	656
728	1758	653
729	1759	650
730	1760	648
731	1762	645
732	1763	642
733	1765	639
734	1769	638
735	1771	635
736	1773	632
737	1774	630
738	1776	627
739	1777	624
740	1780	622
741	1782	619
742	1783	617
743	1785	614
744	1786	611
745	1787	608
746	1789	605
747	1791	603
748	1794	601
749	1796	598
750	1797	596
751	1799	593
752	1800	590
753	1801	587
754	1805	585
755	1807	583
756	1809	580
757	1810	578
758	1812	575
759	1813	572
760	1814	569
761	1816	567
762	1820	565
763	1822	563
764	1824	560
765	1826	557
766	1828	555
767	1831	553
768	1833	550
769	1834	548
770	1836	545
771	1837	542
772	1839	540
773	1843	538
774	1845	535
775	1847	533
776	1849	530
777	1850	528
778	1852	525
779	1854	523
780	1857	520
781	1858	518
782	1859	515
783	1861	512
